kind,time,cnt,kind_num
flavor1,2015-12-01,3,1
flavor1,2015-12-02,6,1
flavor1,2015-12-03,2,1
flavor1,2015-12-04,2,1
flavor1,2015-12-06,3,1
flavor1,2015-12-07,4,1
flavor1,2015-12-08,7,1
flavor1,2015-12-09,26,1
flavor1,2015-12-10,3,1
flavor1,2015-12-11,4,1
flavor1,2015-12-14,4,1
flavor1,2015-12-15,1,1
flavor1,2015-12-16,5,1
flavor1,2015-12-17,3,1
flavor1,2015-12-18,20,1
flavor1,2015-12-19,3,1
flavor1,2015-12-21,6,1
flavor1,2015-12-22,2,1
flavor1,2015-12-23,4,1
flavor1,2015-12-24,7,1
flavor1,2015-12-25,7,1
flavor1,2015-12-26,2,1
flavor1,2015-12-27,1,1
flavor1,2015-12-28,12,1
flavor1,2015-12-29,2,1
flavor1,2015-12-30,3,1
flavor1,2015-12-31,1,1
flavor1,2016-01-02,2,1
flavor1,2016-01-03,1,1
flavor1,2016-01-04,1,1
flavor1,2016-01-06,6,1
flavor1,2016-01-07,2,1
flavor1,2016-01-08,1,1
flavor1,2016-01-10,2,1
flavor1,2016-01-11,1,1
flavor1,2016-01-12,4,1
flavor1,2016-01-13,3,1
flavor1,2016-01-14,10,1
flavor1,2016-01-15,2,1
flavor1,2016-01-16,3,1
flavor1,2016-01-17,1,1
flavor1,2016-01-18,3,1
flavor1,2016-01-19,3,1
flavor1,2016-01-20,2,1
flavor1,2016-01-21,5,1
flavor1,2016-01-22,10,1
flavor1,2016-01-23,1,1
flavor1,2016-01-24,2,1
flavor2,2015-12-01,10,2
flavor2,2015-12-02,2,2
flavor2,2015-12-04,1,2
flavor2,2015-12-05,1,2
flavor2,2015-12-07,3,2
flavor2,2015-12-08,1,2
flavor2,2015-12-09,1,2
flavor2,2015-12-10,6,2
flavor2,2015-12-11,9,2
flavor2,2015-12-12,2,2
flavor2,2015-12-13,1,2
flavor2,2015-12-15,6,2
flavor2,2015-12-16,2,2
flavor2,2015-12-17,5,2
flavor2,2015-12-18,4,2
flavor2,2015-12-19,1,2
flavor2,2015-12-20,2,2
flavor2,2015-12-21,22,2
flavor2,2015-12-22,5,2
flavor2,2015-12-23,13,2
flavor2,2015-12-24,1,2
flavor2,2015-12-25,8,2
flavor2,2015-12-26,3,2
flavor2,2015-12-27,5,2
flavor2,2015-12-28,12,2
flavor2,2015-12-29,6,2
flavor2,2015-12-30,6,2
flavor2,2015-12-31,5,2
flavor2,2016-01-01,1,2
flavor2,2016-01-03,1,2
flavor2,2016-01-04,2,2
flavor2,2016-01-05,5,2
flavor2,2016-01-06,1,2
flavor2,2016-01-07,9,2
flavor2,2016-01-09,1,2
flavor2,2016-01-11,7,2
flavor2,2016-01-12,1,2
flavor2,2016-01-13,9,2
flavor2,2016-01-14,22,2
flavor2,2016-01-15,2,2
flavor2,2016-01-16,3,2
flavor2,2016-01-17,1,2
flavor2,2016-01-18,4,2
flavor2,2016-01-20,4,2
flavor2,2016-01-21,6,2
flavor2,2016-01-22,4,2
flavor2,2016-01-23,6,2
flavor2,2016-01-24,5,2
flavor3,2015-12-10,1,3
flavor3,2015-12-16,1,3
flavor3,2015-12-18,1,3
flavor3,2015-12-24,1,3
flavor3,2016-01-04,1,3
flavor3,2016-01-05,2,3
flavor3,2016-01-14,1,3
flavor3,2016-01-18,1,3
flavor3,2016-01-21,1,3
flavor3,2016-01-23,8,3
flavor4,2015-12-01,2,4
flavor4,2015-12-06,1,4
flavor4,2015-12-07,2,4
flavor4,2015-12-08,18,4
flavor4,2015-12-09,1,4
flavor4,2015-12-11,1,4
flavor4,2015-12-13,1,4
flavor4,2015-12-14,1,4
flavor4,2015-12-15,1,4
flavor4,2015-12-16,1,4
flavor4,2015-12-17,1,4
flavor4,2015-12-22,1,4
flavor4,2015-12-23,1,4
flavor4,2015-12-24,2,4
flavor4,2015-12-26,2,4
flavor4,2015-12-27,1,4
flavor4,2015-12-28,2,4
flavor4,2015-12-29,1,4
flavor4,2015-12-30,3,4
flavor4,2015-12-31,1,4
flavor4,2016-01-01,1,4
flavor4,2016-01-05,2,4
flavor4,2016-01-07,1,4
flavor4,2016-01-08,2,4
flavor4,2016-01-10,1,4
flavor4,2016-01-11,1,4
flavor4,2016-01-12,1,4
flavor4,2016-01-13,6,4
flavor4,2016-01-14,1,4
flavor4,2016-01-15,3,4
flavor4,2016-01-16,1,4
flavor4,2016-01-17,1,4
flavor4,2016-01-18,1,4
flavor4,2016-01-20,2,4
flavor4,2016-01-21,2,4
flavor4,2016-01-22,1,4
flavor4,2016-01-24,1,4
flavor5,2015-12-02,2,5
flavor5,2015-12-03,3,5
flavor5,2015-12-04,2,5
flavor5,2015-12-06,8,5
flavor5,2015-12-07,4,5
flavor5,2015-12-08,2,5
flavor5,2015-12-09,1,5
flavor5,2015-12-10,2,5
flavor5,2015-12-11,1,5
flavor5,2015-12-13,3,5
flavor5,2015-12-14,4,5
flavor5,2015-12-15,4,5
flavor5,2015-12-16,5,5
flavor5,2015-12-17,2,5
flavor5,2015-12-18,3,5
flavor5,2015-12-19,2,5
flavor5,2015-12-21,5,5
flavor5,2015-12-22,4,5
flavor5,2015-12-23,4,5
flavor5,2015-12-24,4,5
flavor5,2015-12-26,2,5
flavor5,2015-12-27,4,5
flavor5,2015-12-28,6,5
flavor5,2015-12-29,2,5
flavor5,2015-12-30,21,5
flavor5,2015-12-31,3,5
flavor5,2016-01-01,4,5
flavor5,2016-01-02,1,5
flavor5,2016-01-03,3,5
flavor5,2016-01-04,3,5
flavor5,2016-01-05,4,5
flavor5,2016-01-06,8,5
flavor5,2016-01-08,1,5
flavor5,2016-01-09,2,5
flavor5,2016-01-10,9,5
flavor5,2016-01-11,5,5
flavor5,2016-01-13,5,5
flavor5,2016-01-14,7,5
flavor5,2016-01-15,2,5
flavor5,2016-01-17,2,5
flavor5,2016-01-18,1,5
flavor5,2016-01-19,16,5
flavor5,2016-01-20,2,5
flavor5,2016-01-21,9,5
flavor5,2016-01-22,1,5
flavor5,2016-01-24,1,5
flavor6,2015-12-01,1,6
flavor6,2015-12-10,1,6
flavor6,2015-12-13,1,6
flavor6,2015-12-14,1,6
flavor6,2015-12-16,1,6
flavor6,2015-12-22,2,6
flavor6,2015-12-24,7,6
flavor6,2015-12-27,1,6
flavor6,2015-12-29,1,6
flavor6,2015-12-30,6,6
flavor6,2016-01-10,1,6
flavor6,2016-01-13,1,6
flavor6,2016-01-18,1,6
flavor6,2016-01-19,7,6
flavor7,2015-12-03,1,7
flavor7,2015-12-06,2,7
flavor7,2015-12-07,6,7
flavor7,2015-12-08,2,7
flavor7,2015-12-09,2,7
flavor7,2015-12-10,1,7
flavor7,2015-12-11,1,7
flavor7,2015-12-13,3,7
flavor7,2015-12-14,1,7
flavor7,2015-12-21,3,7
flavor7,2015-12-22,4,7
flavor7,2015-12-26,11,7
flavor7,2015-12-29,1,7
flavor7,2016-01-01,1,7
flavor7,2016-01-05,1,7
flavor7,2016-01-06,1,7
flavor7,2016-01-13,1,7
flavor7,2016-01-16,1,7
flavor7,2016-01-18,2,7
flavor8,2015-12-01,3,8
flavor8,2015-12-02,9,8
flavor8,2015-12-03,3,8
flavor8,2015-12-06,11,8
flavor8,2015-12-08,22,8
flavor8,2015-12-09,2,8
flavor8,2015-12-10,3,8
flavor8,2015-12-13,4,8
flavor8,2015-12-14,17,8
flavor8,2015-12-16,4,8
flavor8,2015-12-17,8,8
flavor8,2015-12-18,1,8
flavor8,2015-12-19,2,8
flavor8,2015-12-21,6,8
flavor8,2015-12-22,11,8
flavor8,2015-12-23,2,8
flavor8,2015-12-24,12,8
flavor8,2015-12-25,20,8
flavor8,2015-12-26,8,8
flavor8,2015-12-28,31,8
flavor8,2015-12-29,2,8
flavor8,2015-12-31,17,8
flavor8,2016-01-01,1,8
flavor8,2016-01-02,2,8
flavor8,2016-01-03,1,8
flavor8,2016-01-04,1,8
flavor8,2016-01-05,6,8
flavor8,2016-01-06,7,8
flavor8,2016-01-07,35,8
flavor8,2016-01-10,2,8
flavor8,2016-01-11,8,8
flavor8,2016-01-12,4,8
flavor8,2016-01-13,11,8
flavor8,2016-01-14,8,8
flavor8,2016-01-15,1,8
flavor8,2016-01-17,5,8
flavor8,2016-01-18,9,8
flavor8,2016-01-19,4,8
flavor8,2016-01-20,16,8
flavor8,2016-01-21,10,8
flavor8,2016-01-22,3,8
flavor8,2016-01-23,25,8
flavor8,2016-01-24,7,8
flavor9,2015-12-01,2,9
flavor9,2015-12-02,1,9
flavor9,2015-12-03,1,9
flavor9,2015-12-06,1,9
flavor9,2015-12-08,1,9
flavor9,2015-12-09,1,9
flavor9,2015-12-10,3,9
flavor9,2015-12-13,1,9
flavor9,2015-12-15,10,9
flavor9,2015-12-16,1,9
flavor9,2015-12-17,2,9
flavor9,2015-12-22,4,9
flavor9,2015-12-23,21,9
flavor9,2015-12-25,8,9
flavor9,2015-12-26,2,9
flavor9,2015-12-28,5,9
flavor9,2015-12-29,6,9
flavor9,2015-12-30,1,9
flavor9,2016-01-01,1,9
flavor9,2016-01-04,5,9
flavor9,2016-01-05,2,9
flavor9,2016-01-06,2,9
flavor9,2016-01-07,1,9
